,Social Negative Count,WN-SNS,Municipality,County,MRI Score,Latitude,Longitude,Crime_Index
0,31,-12.85302594,aberdeen township,Monmouth,2.33,40.4071138,-74.2216287,189.3568397
1,48,-12.8358209,absecon city,Atlantic,-2.94,39.43624115,-74.51787132,479.8836646
5,37,-13.05164319,andover borough,Sussex,-1.39,40.98887495,-74.74199104,53.9083558
6,7,-12.91139241,andover township,Sussex,0.94,41.0156092,-74.7297505,55.27915976
7,24,-13.66336634,atlantic city,Atlantic,-20.13,39.3642852,-74.4229351,761.6733297
8,6,-12.13114754,avon-by-the-sea borough,Monmouth,2.42,40.19075925,-74.02312895,359.5505618
9,27,-13.39449541,barnegat light borough,Ocean,5.19,39.75841455,-74.1048895,413.7931034
10,14,-12.05673759,barnegat township,Ocean,-1.16,39.7531754,-74.2229179,116.7844756
11,4,-1.176470588,bass river township,Burlington,-5.41,39.5926182,-74.4426494,350.1544799
12,101,-9.02173913,bayonne city,Hudson,-5.16,40.6683682,-74.1171196,265.9224231
13,9,-15.2,beach haven borough,Ocean,-0.05,39.5627869,-74.24110929,2018.819504
14,25,-10.0990099,bedminster township,Somerset,3.94,40.6741476,-74.6809503,86.14324391
15,41,-11.22994652,berkeley township,Ocean,-2.15,39.8979458,-74.1807001,195.0110087
16,168,0.550458716,berlin borough,Camden,0.1,39.795699,-74.95036143,364.2428286
17,79,-4.080604534,berlin township,Camden,0.31,39.8092374,-74.9418173,605.5676067
18,55,-8.944723618,bernards township,Somerset,4.91,40.676207,-74.56335485,66.38570843
19,10,-15.50561798,bethlehem township,Hunterdon,3.82,40.66859885,-75.01027786,374.2342324
20,65,-4.194528875,beverly city,Burlington,-5.13,40.0635699,-74.9200392,408.4901882
21,30,-11.42857143,blairstown township,Warren,1.34,40.9886564,-74.9766032,114.0487299
22,54,-10.02309469,bloomfield township,Essex,-0.58,40.27178525,-74.34109852,274.7306852
23,106,-1.113585746,bloomingdale borough,Passaic,-0.88,41.00776785,-74.33925044,92.55876264
24,36,-12.99270073,bogota borough,Bergen,0.4,40.8792687,-74.0298539,110.6012472
25,46,-9.806094183,boonton township,Morris,4.11,40.9314543,-74.4291549,245.2646916
26,70,-13.01745636,bordentown city,Burlington,0.14,40.1557031,-74.70980809,136.0188334
27,36,-13.34872979,bordentown township,Burlington,3.79,40.1480628,-74.6946311,183.3969001
28,68,-7.747747748,bound brook borough,Somerset,-1.91,40.56452345,-74.52956457,245.1737452
29,27,-11.36,bradley beach borough,Monmouth,0.4,40.20439035,-74.01778748,265.7807309
30,45,-3.255813953,branchburg township,Somerset,4.75,40.5688245,-74.70027389,115.2500515
32,53,-10.3196347,brick township,Ocean,0.75,40.0707244,-74.1280562,259.9314702
33,47,-13.95498392,bridgeton city,Cumberland,-18.46,39.44091815,-75.24042583,757.8118593
34,50,-9.189189189,bridgewater township,Somerset,3.62,40.5931225,-74.604954,154.0510544
35,58,-7.724867725,brielle borough,Monmouth,4.74,40.1111487,-74.0587124,97.4782793
36,73,-10.20134228,brigantine city,Atlantic,-1.58,39.3745275,-74.4411156,292.2661871
37,2,-15.29411765,buena vista township,Atlantic,-5.04,39.5137271,-74.9246151,349.6027242
38,65,-9.006342495,burlington city,Burlington,-5.5,40.0705534,-74.85144873,505.2460018
39,5,-14.20289855,burlington township,Burlington,-0.99,40.072587,-74.88700756,270.3766899
40,39,-7.716535433,byram township,Sussex,3.17,40.960174,-74.71829556,121.1356467
41,41,-13.47912525,caldwell borough,Essex,3.13,40.8611934,-74.2616477,135.0168771
42,42,-8,califon borough,Hunterdon,2.27,40.7247191,-74.83915626,0
43,106,-6.12111293,camden city,Camden,-27.82,39.94483995,-75.11996184,939.8414001
44,48,-13.6318408,cape may city,Cape May,-4.87,38.93446795,-74.92086072,438.9257869
45,23,-14.84593838,carneys point township,Salem,-5.22,39.7112247,-75.4701961,267.7988243
46,80,-2.122905028,cedar grove township,Essex,3.74,39.7020582,-75.2307395,143.2436734
47,102,-12.70125224,chatham borough,Morris,7.73,40.7384937,-74.3848866,88.70692596
48,7,-13.25301205,chatham township,Morris,7.01,40.73012395,-74.42511147,64.15241058
49,102,-11.0428101,cherry hill township,Camden,1.79,39.9348351,-75.0307264,600.3287143
50,55,-3.141762452,chester township,Morris,6.22,40.78028655,-74.66720906,73.03712721
51,23,-14.42424242,chesterfield township,Burlington,4.36,40.1153966,-74.6412727,37.00277521
52,42,-9.787234043,cinnaminson township,Burlington,3.2,39.9967789,-74.99267,360.7937462
53,28,-7.624309392,city of orange township,Essex,-10.58,40.7678002,-74.2390447,56.34524267
54,73,-8.081632653,clifton city,Passaic,-2.15,40.86809315,-74.16143526,338.6133532
55,30,-10.20408163,clinton township,Hunterdon,4.08,40.63378,-74.8503141,103.7421267
56,33,-9.885057471,collingswood borough,Camden,-0.83,39.9162044,-75.0698619,447.8797948
57,173,-7.509025271,colts neck township,Monmouth,5.65,40.2876108,-74.1723652,119.6701529
60,17,-16.23268698,cranbury township,Middlesex,6.13,40.3133907,-74.5201927,189.7435897
61,6,-15.55555556,cranford township,Union,4.22,39.873855,-74.99265814,124.8306164
62,66,-13.36683417,cresskill borough,Bergen,4.46,40.9386477,-73.9648895,108.3276913
64,2,-8.571428571,delanco township,Burlington,0.3,40.0506669,-74.9535016,230.6498115
65,29,-12.36842105,delaware township,Hunterdon,5.08,40.4482545,-74.94148642,67.24949563
66,121,7.344632768,delran township,Burlington,1.5,40.0154905,-74.9550416,221.9675493
68,47,-4.96,denville township,Morris,3.96,40.8922694,-74.4774255,110.5335484
69,11,-14.09395973,deptford township,Gloucester,-1.48,39.8271755,-75.1235892,796.3632744
70,166,4.547134935,dover town,Morris,-5.55,40.88553955,-74.55903029,237.4596819
72,0,-20,dumont borough,Bergen,1.7,40.93810725,-73.99530077,60.58906031
74,35,-12.83887468,east amwell township,Hunterdon,3.79,40.4432331,-74.814333,218.8552189
75,28,-13.61823362,east brunswick township,Middlesex,2.3,40.4278841,-74.415984,274.7093625
76,40,-8.014981273,east greenwich township,Gloucester,4.61,39.79203325,-75.24010931,137.0906321
77,64,-9.980430528,east hanover township,Morris,3.59,40.8258593,-74.35632847,194.8754962
78,52,-7.3556231,east orange city,Essex,-9.92,40.76162925,-74.20997938,384.2166344
79,94,7.14801444,east windsor township,Mercer,1.42,40.2682199,-74.5409597,138.3161198
82,117,1.869158879,edison township,Middlesex,1.37,40.5286106,-74.3945492,250.5206842
83,41,-4.077669903,egg harbor city,Atlantic,-14.93,39.5287282,-74.6479364,629.5050457
84,3,-14.7826087,egg harbor township,Atlantic,-2.5,39.3820672,-74.6171489,446.6678991
85,15,-11.24087591,elizabeth city,Union,-8.95,40.6636218,-74.21208175,759.6064456
86,15,-10.08264463,elk township,Gloucester,1.02,39.6647035,-75.14992465,172.4975705
87,12,-3.448275862,elsinboro township,Salem,-2.13,39.53522575,-75.49797015,196.2809917
89,50,0.512820513,evesham township,Burlington,3.24,39.851752,-74.89174118,238.3472241
90,14,-13.8121547,ewing township,Mercer,-2.06,40.259987,-74.7909216,418.0731559
91,11,-9.647058824,fairfield township,Cumberland,-8.13,39.3889618,-75.2141953,487.5132837
93,0,-20,fanwood borough,Union,5.86,40.641964,-74.3893726,84.96395469
94,25,-9.690721649,fieldsboro borough,Burlington,-1.84,40.13761065,-74.73086721,453.6862004
95,8,-13.78640777,florence township,Burlington,0.23,40.1027969,-74.791527,160.025102
97,12,13.10344828,franklin borough,Sussex,-2.07,41.01944055,-74.19841219,177.4023231
98,5,-16.77419355,franklin lakes borough,Bergen,5.6,41.01944055,-74.19841219,107.2290233
99,12,-15.71428571,franklin township,Gloucester,-2.74,40.4784936,-74.5392118,305.7010786
100,12,-15.71428571,franklin township,Somerset,0.9,40.4784936,-74.5392118,185.2995676
101,12,-15.71428571,franklin township,Warren,2.25,40.4784936,-74.5392118,215.6880403
104,28,-5.165562914,freehold borough,Monmouth,-5.75,40.2590562,-74.2765313,244.2516634
105,107,-3.215686275,freehold township,Monmouth,2.37,40.2161336,-74.283856,281.9807428
107,0,-20,galloway township,Atlantic,-1.54,39.4646097,-74.4986142,259.1383991
108,29,-3.428571429,garfield city,Bergen,-5.86,40.8816667,-74.1138889,412.6944695
110,33,-2.857142857,glen ridge borough,Essex,7.3,40.80152505,-74.20397629,417.2133298
111,47,-8.875739645,gloucester city,Camden,-7.88,39.8918622,-75.1161897,542.670368
112,23,-14.42424242,gloucester township,Camden,-0.99,39.7892305,-75.04765196,324.2191209
113,25,1.978021978,green brook township,Somerset,4.02,40.5990901,-74.4731408,291.3981507
114,2,-11.57894737,green township,Sussex,4.36,40.9659625,-74.78707478,314.5313483
115,11,-4.827586207,greenwich township,Gloucester,-1.5,40.67790075,-75.11479386,359.3466425
118,119,-9.255079007,hackensack city,Bergen,-3.86,40.8854339,-74.0442526,340.5600321
119,0,0,haddon heights borough,Camden,3.09,39.8818071,-75.0598383,117.3802854
120,18,-10.58823529,haddon township,Camden,2.47,39.8976132,-75.0960074,367.5862069
122,7,-11.88405797,haledon borough,Passaic,-4.9,40.9537092,-74.1829225,322.8506517
123,33,-7.368421053,hamilton township,Atlantic,-3.01,40.2307818,-74.7236162,694.4655042
124,33,-7.368421053,hamilton township,Mercer,0.12,40.2307818,-74.7236162,413.589869
125,37,-0.397350993,hampton borough,Hunterdon,-4.24,40.7096223,-74.9675758,220.8091678
127,11,-13.71428571,hanover township,Morris,4.01,40.8174216,-74.3954057,226.2908866
128,5,-15.12195122,harding township,Morris,4.27,40.743647,-74.50209229,94.14225941
130,3,-16,hardyston township,Sussex,0.84,41.1267665,-74.57171525,116.323661
132,9,-14.46153846,harrison township,Gloucester,3.84,39.7225865,-75.20161418,106.8524971
133,7,-7.272727273,harvey cedars borough,Ocean,5.95,39.70500705,-74.13528438,1420.118343
134,24,-7.532467532,hawthorne borough,Passaic,1.23,40.8600846,-73.984704,69.30407161
135,16,-12.60115607,hazlet township,Monmouth,1.67,40.4292165,-74.1648999,231.3470205
136,26,-9.387755102,high bridge borough,Hunterdon,-1.5,40.6621904,-74.89929357,141.723356
137,9,-4.347826087,highland park borough,Middlesex,-0.93,40.49739595,-74.42211071,248.7668883
138,13,-8.571428571,hillsborough township,Somerset,4.29,40.5052296,-74.6732941,128.6561463
139,10,-14.77124183,hoboken city,Hudson,3.77,40.737241,-74.03135907,356.1057064
140,8,-9.152542373,holland township,Hunterdon,3.16,40.59804705,-75.12384117,50.70202808
141,9,-13.14285714,holmdel township,Monmouth,4.55,40.3451095,-74.1840322,161.2418025
142,30,-4.516129032,hopatcong borough,Sussex,1.29,40.93373385,-74.65953542,67.68666714
144,51,-6.262626263,hopewell borough,Mercer,3.73,40.38739915,-74.7692767,62.46746486
145,12,-11.19266055,hopewell township,Cumberland,-0.29,40.3435303,-74.8166318,93.33333333
147,10,-9.473684211,howell township,Monmouth,2.61,40.1413032,-74.2236618,93.33333333
148,13,-11.61290323,independence township,Warren,1.94,40.882461,-74.8756179,47.31574158
149,0,0,irvington township,Essex,-9.22,39.7651267,-74.1988986,601.6230173
150,8,-16.57754011,jackson township,Ocean,1.28,40.1151766,-74.3647772,137.0225373
151,23,-10.36649215,jefferson township,Morris,1.02,40.99359485,-74.56260184,84.47629443
152,49,-8.895184136,jersey city,Hudson,-4.94,40.7215682,-74.047455,445.9331914
154,34,8.936170213,kinnelon borough,Morris,4.65,41.0062938,-74.36886265,51.58730159
155,11,-1.666666667,knowlton township,Warren,0.03,40.92334905,-75.05139915,298.2179658
156,0,-20,lacey township,Ocean,1.5,39.8726184,-74.2951444,191.9452781
158,13,-8.936170213,lakewood township,Ocean,-4.01,40.0978929,-74.2176435,177.2336394
159,2,-17.71428571,lambertville city,Hunterdon,1.91,40.36769765,-74.94043561,241.406455
160,9,-12.5,lawrence township,Cumberland,-6.35,40.2774754,-74.7296047,383.837765
162,18,-13.57142857,lebanon borough,Hunterdon,2.27,40.6406353,-74.8356167,102.1416804
163,18,5.714285714,lebanon township,Hunterdon,2.74,40.729147,-74.897122,167.8474114
166,64,19.08396947,linwood city,Atlantic,1.95,39.3539719,-74.57438524,167.1064204
167,91,7.063197026,little egg harbor township,Ocean,-0.81,39.6452742,-74.366968,233.3191066
168,30,-0.165289256,little ferry borough,Bergen,-1.96,40.8502575,-74.0439861,185.4061496
169,4,-18.26086957,livingston township,Essex,5.73,41.205859,-74.43375412,201.5425889
170,0,-20,loch arbour village,Monmouth,5.54,40.2328413,-73.9966327,441.9889503
171,12,-12.88888889,logan township,Gloucester,1.82,39.7947842,-75.34883104,410.6776181
172,3,-16.06557377,long beach township,Ocean,3.54,39.6162477,-74.1997058,412.6774513
173,1,-15.78947368,long hill township,Morris,4.21,40.6883913,-74.4961781,107.138698
174,0,-20,longport borough,Atlantic,3.98,39.31197845,-74.52732273,114.5475372
175,9,-6.41509434,lopatcong township,Warren,0.36,40.7133388,-75.1601985,162.2137405
176,7,6.666666667,lower alloways creek township,Salem,-1.06,39.5005387,-75.4367007,95.46539379
177,10,-10.90909091,lower township,Cape May,-3.82,38.973965,-74.9249245,183.6517556
178,2,-13.33333333,lumberton township,Burlington,1.06,39.9659459,-74.8051628,362.3602383
179,18,-5.6,lyndhurst township,Bergen,-0.52,40.0245554,-74.3048078,160.8291637
180,10,-12,madison borough,Morris,4.32,40.75188245,-74.40104745,100.4295099
181,4,-14.92063492,manalapan township,Monmouth,3.91,40.2852895,-74.333495,115.0684932
182,6,-3.448275862,manasquan borough,Monmouth,4.79,40.1165842,-74.0534506,227.0032187
183,3,-1.538461538,manchester township,Ocean,-2.58,39.9734957,-74.3816966,119.2389203
185,23,-11.02439024,mansfield township,Warren,0.69,40.0912221,-74.7137709,150.4022385
186,23,-11.02439024,mansfield township,Burlington,2.83,40.0912221,-74.7137709,223.3885076
187,17,-2.105263158,mantoloking borough,Ocean,9.23,40.03723755,-74.05159604,883.5341365
188,13,-11.33333333,mantua township,Gloucester,1.17,39.7940026,-75.1721232,266.7208232
189,9,-13.20754717,maple shade township,Burlington,-1.72,39.9526127,-74.9923915,365.9705945
190,2,-17.33333333,maplewood township,Essex,3.91,40.25133215,-74.28878944,337.7308707
191,23,-4,margate city,Atlantic,2.14,39.327894,-74.5034858,476.426799
192,63,-6.524064171,marlboro township,Monmouth,4.85,40.3153877,-74.2462564,147.2556894
193,5,-10.24390244,matawan borough,Monmouth,1.38,40.4098052,-74.2319013,22.5631769
195,4,-14.75409836,maywood borough,Bergen,1.3,40.9043935,-74.06013019,147.4956468
196,3,-13.51351351,medford township,Burlington,4.86,39.9009472,-74.8234961,189.3199762
197,20,-4.31372549,mendham borough,Morris,6.16,40.7786615,-74.6020697,97.85932722
198,28,-13.56321839,mendham township,Morris,7.31,40.77872315,-74.56430241,41.68837936
199,2,-17.03703704,middle township,Cape May,-5.68,39.1190651,-74.8458744,486.436431
200,22,-10.32967033,middletown township,Monmouth,3.22,40.3942754,-74.117086,123.4171898
201,15,-11.17647059,millburn township,Essex,7.42,40.7244919,-74.30984582,372.345679
203,5,-13.22033898,millville city,Cumberland,-8.03,39.3209485,-74.7709978,966.6989977
204,7,-11.76470588,mine hill township,Morris,1.75,41.1178522,-74.5870801,90.54895303
205,0,-20,monroe township,Gloucester,-1.24,40.335756,-74.4334464,278.9193928
206,0,-20,monroe township,Middlesex,2.51,40.335756,-74.4334464,71.49593175
207,6,-8.571428571,montague township,Sussex,-0.21,41.3031498,-74.7934993,88.45417818
208,4,-15.73333333,montclair township,Essex,3.57,39.7631027,-74.1945872,277.6849305
209,20,3.880597015,montgomery township,Somerset,6.4,40.4564037,-74.6594773,88.45417818
210,8,-12.28915663,montville township,Morris,4.78,40.9148209,-74.383763,165.4514863
211,7,-14.86238532,moorestown township,Burlington,4.08,39.9670569,-74.9426677,257.4353974
212,18,-13.23943662,morris plains borough,Morris,3.18,40.83360565,-74.46687417,232.3470684
214,19,-10.78787879,morristown town,Morris,0.69,40.7970382,-74.4809868,246.0233298
215,24,-6.086956522,mount arlington borough,Morris,1.25,40.9309139,-74.63163507,87.92695299
216,22,-4,mount holly township,Burlington,-8.57,39.9928898,-74.7876624,558.0865604
217,2,-17.83783784,mount laurel township,Burlington,2.75,39.934002,-74.8909988,344.231185
218,14,-12,mount olive township,Morris,1.35,40.8519579,-74.7890673,57.25322481
219,3,-8.571428571,mullica township,Atlantic,-4.53,39.5777443,-74.7172708,256.4529559
220,30,-11.24087591,neptune township,Monmouth,-1.89,40.2239981,-74.0478216,643.3745207
221,6,-16.44444444,new brunswick city,Middlesex,-12.57,40.49389805,-74.44565055,538.0278205
223,199,-9.648894668,newark city,Essex,-13.33,40.7317764,-74.17360431,549.9932686
224,16,-10.07751938,newton town,Sussex,-4.14,41.0582503,-74.74973903,236.4519427
225,23,-7.894736842,north bergen township,Hudson,-5.62,40.286739,-74.411542,168.7616756
226,30,-5.185185185,north brunswick township,Middlesex,-0.73,40.44560135,-74.489296,348.773842
227,10,-2.78E-15,north caldwell borough,Essex,6.46,40.8611934,-74.2616477,41.69148303
228,14,-2.222222222,north haledon borough,Passaic,1.28,40.9537092,-74.1829225,82.65438659
229,12,1.333333333,north hanover township,Burlington,-1.28,40.08801,-74.58573128,74.48789572
230,14,-14.5631068,nutley township,Essex,1.55,41.1754411,-74.4458338,156.6652679
231,29,4.166666667,oakland borough,Bergen,3.93,41.02394245,-74.24563887,83.95664784
232,27,-6.987951807,ocean township,Ocean,0.91,40.2520408,-74.0461049,517.1485006
233,27,-6.987951807,ocean township,Monmouth,1.64,40.2520408,-74.0461049,309.8450775
234,11,-7.428571429,oceanport borough,Monmouth,2.43,40.31216815,-74.03582566,177.6384535
235,21,-6.115702479,old bridge township,Middlesex,0.43,40.414071,-74.3042101,156.2099486
237,6,-13.04347826,oxford township,Warren,1.08,40.8041113,-74.99966607,98.11937858
238,2,-16.09756098,palisades park borough,Bergen,-0.18,40.855041,-73.998342,140.7506702
239,72,6.063348416,palmyra borough,Burlington,-0.47,40.0032402,-75.02211078,455.6821339
240,65,-12.82758621,paramus borough,Bergen,2.5,40.92616975,-74.0699502,815.8839366
241,12,-12.0661157,parsippany-troy hills township,Morris,2.09,40.8617005,-74.36537154,149.1029039
242,23,-12.13675214,passaic city,Passaic,-15.1,40.861021,-74.12329062,484.5602328
243,15,-13.84615385,paterson city,Passaic,-16.65,40.9170394,-74.17197468,632.2969781
244,0,-20,paulsboro borough,Gloucester,-9.59,39.8302,-75.2394,729.5251204
245,6,-8,pemberton borough,Burlington,-5.56,39.97349055,-74.67961629,450.7888805
246,9,-7.142857143,pemberton township,Burlington,-4.17,39.9548195,-74.59322386,468.9107747
248,0,-20,pennsauken township,Camden,-6.55,39.9562238,-75.0579502,570.8639187
249,13,-10.28037383,pennsville township,Salem,-4.01,39.6534464,-75.5165881,391.8242042
250,27,-9.66507177,pequannock township,Morris,2.45,40.9600102,-74.2974765,126.5072149
251,28,-6.74556213,perth amboy city,Middlesex,-11.55,40.50638185,-74.2653264,338.7013582
252,30,-7.878787879,phillipsburg town,Warren,-8.27,40.6915956,-75.19536771,473.0809309
254,14,-0.689655172,piscataway township,Middlesex,0.86,40.5462553,-74.4660408,167.2421611
255,16,-11.52317881,pittsgrove township,Salem,-1.84,39.528263,-75.13114603,119.5952162
256,14,-9.230769231,plainfield city,Union,-8.65,40.6178735,-74.41661407,401.2199921
257,28,-6.900584795,plainsboro township,Middlesex,4.01,40.3334409,-74.6004341,110.1406875
258,11,-11.9266055,pleasantville city,Atlantic,-15.54,39.38238465,-74.50227167,384.1530843
259,12,-3.448275862,plumsted township,Ocean,-0.01,40.0500971,-74.4894892,127.6595745
260,14,-13.67231638,pohatcong township,Warren,1.14,40.6391205,-75.15066271,913.8949332
261,15,-15.75971731,point pleasant borough,Ocean,2.72,40.0779441,-74.0684129,139.6557324
262,118,-11.44927536,princeton,Mercer,4.53,40.3496953,-74.6597376,148.1667504
264,16,-8.363636364,rahway city,Union,-2.36,40.60470935,-74.27428652,185.6341115
265,16,-9.152542373,randolph township,Morris,4.13,40.844265,-74.58572175,101.7532874
266,36,-11.19266055,raritan township,Hunterdon,4.29,40.5042326,-74.8948569,148.184737
267,24,-2.545454545,readington township,Hunterdon,3.59,40.5687141,-74.7376619,105.3886205
268,22,-15.78947368,ridgefield borough,Bergen,1.41,40.836141,-73.99897119,125.3420425
269,10,-6.666666667,ridgewood village,Bergen,6.07,40.9795336,-74.1188684,125.8405757
270,33,4.905660377,riverside township,Burlington,-6.34,40.0323338,-74.9573908,55.87301587
271,4,-14.57627119,robbinsville township,Mercer,5.24,40.2162828,-74.619833,82.9367777
272,16,-7.572815534,rockaway borough,Morris,-0.24,40.89808355,-74.5178823,169.0670006
273,11,-13.88888889,rockaway township,Morris,3.69,40.9302182,-74.4871818,236.8919773
275,21,-6,roselle borough,Union,-3.96,40.6583306,-74.2637077,299.7200165
276,30,-12.72727273,roxbury township,Morris,1.8,40.874768,-74.6564721,111.2559757
277,19,-8.985507246,rutherford borough,Bergen,2.53,40.8260991,-74.1083482,196.5945104
278,62,-5.787965616,saddle brook township,Bergen,1.51,39.8192263,-74.7870092,274.9875329
280,17,-2.105263158,sayreville borough,Middlesex,0.55,40.4637333,-74.36199275,153.7881142
281,4,-18.35897436,sea bright borough,Monmouth,2.47,40.3619362,-73.9735419,101.5228426
282,38,-15.11254019,sea isle city,Cape May,2.51,39.1548404,-74.6897791,1028.62688
283,53,-7.565982405,seaside park borough,Ocean,-0.25,39.93512135,-74.07296645,340.7601573
284,43,-11.26903553,secaucus town,Hudson,2.23,40.78785745,-74.05507769,542.9157309
286,15,-13.5828877,shrewsbury township,Monmouth,-1.29,40.3120839,-74.0732274,412.470024
287,50,-6.754966887,somers point city,Atlantic,-5.4,39.3915262,-74.5621143,498.2752012
288,48,-13.42465753,somerville borough,Somerset,-1,40.57050295,-74.61962194,238.5202012
289,24,-2.857142857,south bound brook borough,Somerset,-2.14,40.5575489,-74.5277602,138.4981606
290,0,-20,south brunswick township,Middlesex,3.45,40.40412305,-74.56297793,129.2619767
291,41,-16.04819277,south harrison township,Gloucester,2.35,39.700469,-75.26023441,83.3867864
292,70,-10.8045977,south river borough,Middlesex,-4.18,40.44939105,-74.38121324,175.7534501
294,89,-10.81290323,sparta township,Sussex,4.3,41.0401567,-74.6310081,63.12185728
295,24,-5.671641791,springfield township,Burlington,2.82,40.0431682,-74.6454353,167.6829268
296,24,-5.671641791,springfield township,Union,2.92,40.0431682,-74.6454353,166.6479
297,62,-2.837370242,stafford township,Ocean,1.73,39.7114651,-74.2779616,146.2731661
300,25,-12.83154122,surf city borough,Ocean,3.94,39.6604369,-74.16746816,204.4293015
303,9,-5,teaneck township,Bergen,1.78,40.8860164,-74.0072568,227.1672488
304,12,-5,tewksbury township,Hunterdon,5.48,40.68446,-74.77872997,41.20171674
305,11,-2.4,tinton falls borough,Monmouth,1.23,40.2982823,-74.0908161,210.6567534
306,13,-10.87719298,toms river township,Ocean,0.13,39.9526791,-74.1968257,297.7514074
307,16,-6.804123711,totowa borough,Passaic,-0.38,40.9070432,-74.2029231,433.152072
308,21,-9.693251534,trenton city,Mercer,-16.82,40.2307232,-74.7556166,823.1346937
309,8,-12.55813953,union beach borough,Monmouth,0.84,40.4393213,-74.17915758,113.3662461
310,18,-11.86440678,union township,Union,0.03,40.6695453,-74.9240573,374.8391708
311,18,-11.86440678,union township,Hunterdon,1.81,40.6695453,-74.9240573,339.6136661
316,11,-9.268292683,ventnor city,Atlantic,-2.6,39.3405045,-74.4773916,543.1153015
317,22,-7.517730496,vernon township,Sussex,1.67,41.1984287,-74.4832132,91.58090402
318,20,-7.878787879,verona township,Essex,4.25,40.6424457,-74.4856528,132.4700454
319,0,0,voorhees township,Camden,1.42,39.8512162,-74.9619779,287.2278215
320,5,-16.63865546,wall township,Monmouth,3.85,40.1743052,-74.0902219,206.5112695
323,5,-10,wantage township,Sussex,0.35,41.2442617,-74.5507156,137.1237458
324,13,-8.181818182,warren township,Somerset,4.99,40.63065715,-74.52266308,68.96119366
325,43,-1.604278075,washington borough,Warren,-3.81,40.7631045,-74.98513756,156.082632
326,27,-12,washington township,Burlington,-1.11,40.9884843,-74.0652437,62.3722981
331,7,-7.555555556,waterford township,Camden,-2.33,39.7321715,-74.80109551,133.4461047
332,0,0,wayne township,Passaic,3.05,40.9018775,-74.26336333,387.3757821
333,2,-6.666666667,weehawken township,Hudson,0.92,39.8590453,-74.2062003,316.0531894
334,2,-10.58823529,west amwell township,Hunterdon,3.97,40.3989633,-74.9075666,130.5767138
335,3,-14.89361702,west deptford township,Gloucester,-0.64,39.832362,-75.1888708,295.8494902
336,38,4.516129032,west milford township,Passaic,2.06,41.1293883,-74.369218,127.2590361
337,22,-11.53846154,west windsor township,Mercer,5.21,40.3224396,-74.6002729,218.9058245
342,11,-15,wildwood city,Cape May,-15.57,38.9865966,-74.82205711,1406.156902
343,59,-8.653846154,wildwood crest borough,Cape May,-5.59,38.9626747,-74.850841,436.4569961
344,0,-20,willingboro township,Burlington,-3.53,40.0289423,-74.8808221,367.3266094
345,11,0.952380952,winfield township,Union,-4.76,40.63507735,-74.287191,118.8903567
346,0,0,winslow township,Camden,-4.66,39.6573385,-74.8623868,301.7039237
347,16,-10.79136691,woodbridge township,Middlesex,0.09,40.5576045,-74.2845911,331.0733119
348,6,-14.54545455,woodbury city,Gloucester,-6.38,39.8452327,-75.1472368,976.8109994
349,6,-13.23943662,woodland township,Burlington,-3.83,39.842075,-74.52305759,248.4569107
350,1,-15.55555556,woodstown borough,Salem,-1.92,39.6512867,-75.3291382,278.5030461
351,11,-8.860759494,woolwich township,Gloucester,2.89,39.7414825,-75.3480555,79.13896803
352,6,-6.666666667,wyckoff township,Bergen,5.08,40.2034457,-74.2557009,105.4717091
